species_label,review_label,pair_source,source_run_name,source_run_dir,cluster_run_dir,pattern_run_dir,cluster_id_a,cluster_id_b,clip_id_a,clip_id_b,embedding_row_a,embedding_row_b,recording_id_a,recording_id_b,audio_path_a,audio_path_b,review_confidence,review_notes
blackbird,different,manual_cross_cluster_review,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_pattern_layer_aug_uk_birdnet_windows_v1,0,1,XC436368_Turdus_merula_bn_00000000_00003000,XC598974_Turdus_merula_bn_00006000_00009000,52,114,XC436368_Turdus_merula,XC598974_Turdus_merula,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_species_aug_uk_birdnet_windows_v1/events/XC436368_Turdus_merula_bn_00000000_00003000.wav,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_species_aug_uk_birdnet_windows_v1/events/XC598974_Turdus_merula_bn_00006000_00009000.wav,5,Different canonical groups from listening review
blackbird,different,manual_cross_cluster_review,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_pattern_layer_aug_uk_birdnet_windows_v1,0,1,XC436368_Turdus_merula_bn_00000000_00003000,XC598974_Turdus_merula_bn_00007500_00010500,52,115,XC436368_Turdus_merula,XC598974_Turdus_merula,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_species_aug_uk_birdnet_windows_v1/events/XC436368_Turdus_merula_bn_00000000_00003000.wav,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_species_aug_uk_birdnet_windows_v1/events/XC598974_Turdus_merula_bn_00007500_00010500.wav,5,Different canonical groups from listening review
blackbird,different,manual_cross_cluster_review,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_pattern_layer_aug_uk_birdnet_windows_v1,0,1,XC436368_Turdus_merula_bn_00000000_00003000,XC598974_Turdus_merula_bn_00009000_00012000,52,116,XC436368_Turdus_merula,XC598974_Turdus_merula,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_species_aug_uk_birdnet_windows_v1/events/XC436368_Turdus_merula_bn_00000000_00003000.wav,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_species_aug_uk_birdnet_windows_v1/events/XC598974_Turdus_merula_bn_00009000_00012000.wav,5,Different canonical groups from listening review
blackbird,different,manual_cross_cluster_review,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_pattern_layer_aug_uk_birdnet_windows_v1,0,1,XC436368_Turdus_merula_bn_00000000_00003000,XC598974_Turdus_merula_bn_00012000_00015000,52,118,XC436368_Turdus_merula,XC598974_Turdus_merula,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_species_aug_uk_birdnet_windows_v1/events/XC436368_Turdus_merula_bn_00000000_00003000.wav,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_species_aug_uk_birdnet_windows_v1/events/XC598974_Turdus_merula_bn_00012000_00015000.wav,5,Different canonical groups from listening review
blackbird,different,manual_cross_cluster_review,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_pattern_layer_aug_uk_birdnet_windows_v1,0,1,XC436368_Turdus_merula_bn_00003000_00006000,XC598974_Turdus_merula_bn_00009000_00012000,53,116,XC436368_Turdus_merula,XC598974_Turdus_merula,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_species_aug_uk_birdnet_windows_v1/events/XC436368_Turdus_merula_bn_00003000_00006000.wav,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_species_aug_uk_birdnet_windows_v1/events/XC598974_Turdus_merula_bn_00009000_00012000.wav,5,Different canonical groups from listening review
blackbird,different,manual_cross_cluster_review,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_pattern_layer_aug_uk_birdnet_windows_v1,0,1,XC436368_Turdus_merula_bn_00003000_00006000,XC598974_Turdus_merula_bn_00010500_00013500,53,117,XC436368_Turdus_merula,XC598974_Turdus_merula,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_species_aug_uk_birdnet_windows_v1/events/XC436368_Turdus_merula_bn_00003000_00006000.wav,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_species_aug_uk_birdnet_windows_v1/events/XC598974_Turdus_merula_bn_00010500_00013500.wav,5,Different canonical groups from listening review
blackbird,different,manual_cross_cluster_review,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_pattern_layer_aug_uk_birdnet_windows_v1,0,1,XC436368_Turdus_merula_bn_00003000_00006000,XC598974_Turdus_merula_bn_00012000_00015000,53,118,XC436368_Turdus_merula,XC598974_Turdus_merula,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_species_aug_uk_birdnet_windows_v1/events/XC436368_Turdus_merula_bn_00003000_00006000.wav,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_species_aug_uk_birdnet_windows_v1/events/XC598974_Turdus_merula_bn_00012000_00015000.wav,5,Different canonical groups from listening review
blackbird,different,manual_cross_cluster_review,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_pattern_layer_aug_uk_birdnet_windows_v1,0,1,XC436368_Turdus_merula_bn_00003000_00006000,XC598974_Turdus_merula_bn_00013500_00016500,53,119,XC436368_Turdus_merula,XC598974_Turdus_merula,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_species_aug_uk_birdnet_windows_v1/events/XC436368_Turdus_merula_bn_00003000_00006000.wav,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_species_aug_uk_birdnet_windows_v1/events/XC598974_Turdus_merula_bn_00013500_00016500.wav,5,Different canonical groups from listening review
blackbird,different,manual_cross_cluster_review,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_pattern_layer_aug_uk_birdnet_windows_v1,0,1,XC436368_Turdus_merula_bn_00004500_00007500,XC598974_Turdus_merula_bn_00006000_00009000,54,114,XC436368_Turdus_merula,XC598974_Turdus_merula,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_species_aug_uk_birdnet_windows_v1/events/XC436368_Turdus_merula_bn_00004500_00007500.wav,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_species_aug_uk_birdnet_windows_v1/events/XC598974_Turdus_merula_bn_00006000_00009000.wav,5,Different canonical groups from listening review
blackbird,different,manual_cross_cluster_review,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_pattern_layer_aug_uk_birdnet_windows_v1,0,1,XC436368_Turdus_merula_bn_00006000_00009000,XC598974_Turdus_merula_bn_00007500_00010500,55,115,XC436368_Turdus_merula,XC598974_Turdus_merula,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_species_aug_uk_birdnet_windows_v1/events/XC436368_Turdus_merula_bn_00006000_00009000.wav,/Users/esmesturgess/Bird Translation AI/data/runs/blackbird_species_aug_uk_birdnet_windows_v1/events/XC598974_Turdus_merula_bn_00007500_00010500.wav,5,Different canonical groups from listening review
