species_label,source_run_name,source_run_dir,original_cluster_id,canonical_group_id,group_status,review_confidence,review_notes
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,0,bb_g0,confirmed,5,"Grouped with 2 and 6 from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,2,bb_g0,confirmed,5,"Grouped with 0 and 6 from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,6,bb_g0,confirmed,5,"Grouped with 0 and 2 from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,1,bb_g1,confirmed,5,"Grouped with 3, 4, and 5 from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,3,bb_g1,confirmed,5,"Grouped with 1, 4, and 5 from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,4,bb_g1,confirmed,5,"Grouped with 1, 3, and 5 from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,5,bb_g1,confirmed,5,"Grouped with 1, 3, and 4 from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,7,bb_g2,confirmed,5,"Singleton group from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,8,bb_g3,confirmed,5,"Grouped with 9 from listening review"
blackbird,blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,/Users/esmesturgess/Library/CloudStorage/GoogleDrive-esmesturgessdurden@gmail.com/My Drive/BirdTranslationAI/runs/within_species_clusters/00_archive_old_window_runs/blackbird_pattern_clusters_aug_uk_birdnet_windows_v1,9,bb_g3,confirmed,5,"Grouped with 8 from listening review"
